date,home,away,match_id,home_score,away_score
2018-09-30 11:00:00,CTT DELS HORTS,133 CTT VILAFRANCA,2000,4,2
2018-09-30 11:00:00,GRUPO PREVING CTT L'HOSPITALET,LLUÏSOS DE GRÀCIA,134,4,2
2018-09-30 11:00:00,CTT RIPOLLET,EL CENTRE,135,5,1
2018-09-30 11:00:00,CTT VILANOVA I LA GELTRU,CN SABADELL,136,4,3
2018-09-30 11:00:00,ATT CASTELLAR,ATT PREMIÀ DE MAR,137,1,5
2018-09-30 11:00:00,FORN BERTRAN BADALONA,CTT CARDEDEU C.Camp,138,4,3
2018-10-06 17:00:00,CTT VILAFRANCA,CTT CARDEDEU,139,2,4
2018-10-07 11:00:00,ATT PREMIÀ DE MAR,FORN BERTRAN BADALONA,140,2,4
2018-10-07 10:00:00,CN SABADELL,ATT CASTELLAR,141,6,0
2018-10-07 11:00:00,EL CENTRE,CTT VILANOVA I LA GELTRU,142,1,5
2018-10-07 11:00:00,LLUÏSOS DE GRÀCIA,CTT RIPOLLET,143,1,5
2018-10-07 11:00:00,CTT DELS HORTS,144 GRUPO PREVING CTT L'HOSPITALET,2000,2,4
2018-10-14 11:00:00,GRUPO PREVING CTT L'HOSPITALET,CTT VILAFRANCA,145,3,4
2018-10-14 11:00:00,CTT RIPOLLET,CTT DELS HORTS 2000,146,4,2
2018-10-14 11:00:00,CTT VILANOVA I LA GELTRU,LLUÏSOS DE GRÀCIA,147,4,3
2018-10-14 11:00:00,ATT CASTELLAR,EL CENTRE,148,2,4
2018-10-13 18:00:00,FORN BERTRAN BADALONA,CN SABADELL,149,2,4
2018-10-14 11:00:00,CTT CARDEDEU,ATT PREMIÀ DE MAR,150,5,1
2018-10-20 17:00:00,CTT VILAFRANCA,ATT PREMIÀ DE MAR,151,2,4
2018-10-21 10:00:00,CN SABADELL,CTT CARDEDEU,152,4,3
2018-10-21 11:00:00,EL CENTRE,FORN BERTRAN BADALONA,153,1,5
2018-10-21 11:00:00,LLUÏSOS DE GRÀCIA,ATT CASTELLAR,154,2,4
2018-10-21 11:00:00,CTT DELS HORTS,155 CTT VILANOVA I LA GELTRU,2000,4,3
2018-10-21 11:00:00,GRUPO PREVING CTT L'HOSPITALET,CTT RIPOLLET,156,4,2
2018-10-28 11:00:00,CTT RIPOLLET,CTT VILAFRANCA,157,1,5
2018-10-28 11:00:00,CTT VILANOVA I LA GELTRU,GRUPO PREVING CTT L'HOSPITALET,158,5,1
2018-10-28 11:00:00,ATT CASTELLAR,CTT DELS HORTS 2000,159,0,6
2018-10-27 18:00:00,FORN BERTRAN BADALONA,LLUÏSOS DE GRÀCIA,160,4,2
2018-10-28 11:00:00,CTT CARDEDEU,EL CENTRE,161,6,0
2018-10-28 11:00:00,ATT PREMIÀ DE MAR,CN SABADELL,162,0,6
2018-11-10 17:00:00,CTT VILAFRANCA,CN SABADELL,163,4,2
2018-11-11 11:00:00,EL CENTRE,ATT PREMIÀ DE MAR,164,2,4
