date,home,away,match_id,home_score,away_score
2019-09-29 11:00:00,ATT CASTELLAR,FALCONS DE SABADELL ESCOLA,1585,1,5
2019-09-29 11:00:00,CETT SANT ANDREU DE LA BARCA,CTT CASTELLGALÍ B,1587,1,5
2019-09-28 17:00:00,CTT L'HOSPITALET GRUPO PREVING,CTT ATENEU 1882 A,1588,4,2
2019-10-06 11:00:00,FALCONS DE SABADELL ESCOLA,CTT BARCELONA SÈNIOR C,1591,6,0
2019-10-05 18:00:00,CTT CASTELLGALÍ B,CTT L'HOSPITALET GRUPO PREVING,1594,0,6
2019-10-06 11:00:00,CTT VALLS DE TORROELLA A,CETT SANT ANDREU DE LA BARCA,1595,6,0
2019-10-13 11:00:00,CETT SANT ANDREU DE LA BARCA,ATT CASTELLAR,1598,1,5
2019-10-12 17:00:00,CTT L'HOSPITALET GRUPO PREVING,CTT VALLS DE TORROELLA A,1599,1,5
2019-10-12 11:00:00,CTT BARCELONA SÈNIOR C,CTT ATC MOLINS DE REI,1602,2,4
2019-10-20 11:00:00,FALCONS DE SABADELL ESCOLA,CTT ATC MOLINS DE REI,1603,4,3
2019-10-19 17:00:00,CTT ATENEU,A 1604 CTT BARCELONA SÈNIOR C,1882,4,3
2019-10-20 11:00:00,ATT CASTELLAR,CTT L'HOSPITALET GRUPO PREVING,1607,1,5
2019-10-27 11:00:00,CETT SANT ANDREU DE LA BARCA,FALCONS DE SABADELL ESCOLA,1609,1,5
2019-10-26 11:00:00,CTT BARCELONA SÈNIOR C,CTT CASTELLGALÍ B,1613,6,0
2019-10-27 11:00:00,CTT ATC MOLINS DE REI,CTT ATENEU 1882 A,1614,6,0
2019-11-10 11:00:00,FALCONS DE SABADELL ESCOLA,CTT ATENEU 1882 A,1615,4,3
2019-11-09 18:00:00,CTT CASTELLGALÍ B,CTT ATC MOLINS DE REI,1616,0,6
2019-11-10 11:00:00,CTT VALLS DE TORROELLA A,CTT BARCELONA SÈNIOR C,1617,6,0
2019-11-10 11:00:00,CETT SANT ANDREU DE LA BARCA,CTT L'HOSPITALET GRUPO PREVING,1620,0,6
2019-11-16 17:00:00,CTT L'HOSPITALET GRUPO PREVING,FALCONS DE SABADELL ESCOLA,1621,2,4
2019-11-16 11:00:00,CTT BARCELONA SÈNIOR C,ATT CASTELLAR,1624,4,2
2019-11-17 11:00:00,CTT ATC MOLINS DE REI,CTT VALLS DE TORROELLA A,1625,3,4
2019-11-16 17:00:00,CTT ATENEU,A 1626 CTT CASTELLGALÍ B,1882,5,1
2019-11-24 11:00:00,FALCONS DE SABADELL ESCOLA,CTT CASTELLGALÍ B C.Camp,1627,4,2
2019-11-24 11:00:00,CTT VALLS DE TORROELLA A,CTT ATENEU 1882 A,1628,3,4
2019-11-24 11:00:00,ATT CASTELLAR,CTT ATC MOLINS DE REI,1629,2,4
2019-11-30 11:00:00,CTT BARCELONA SÈNIOR C,CETT SANT ANDREU DE LA BARCA,1635,5,1
