date,home,away,match_id,home_score,away_score
2019-10-01 20:00:00,CN SABADELL B,GIRBAU VIC TT,1905,2,4
2019-10-01 20:00:00,CTT ATENEU,B 1906 TT PARETS,1882,0,6
2019-10-01 20:30:00,BLANXART XALOC OLESA,EL CENTRE B,1907,4,2
2019-10-01 20:00:00,SCR EL CIERVO A,CTT POBLENOU,1908,3,4
2019-10-08 20:00:00,GIRBAU VIC TT,CTT POBLENOU,1909,2,4
2019-10-10 20:30:00,EL CENTRE B,SCR EL CIERVO A,1910,2,4
2019-10-08 20:00:00,CTT ATENEU,B 1911 BLANXART XALOC OLESA,1882,4,2
2019-10-08 20:00:00,CN SABADELL B,TT PARETS,1912,1,5
2019-10-15 20:00:00,TT PARETS,GIRBAU VIC TT C.Camp,1913,4,3
2019-10-15 20:30:00,BLANXART XALOC OLESA,CN SABADELL B,1914,4,2
2019-10-15 20:00:00,SCR EL CIERVO A,CTT ATENEU 1882 B,1915,3,4
2019-10-15 20:30:00,CTT POBLENOU,EL CENTRE B,1916,5,1
2019-10-22 20:00:00,GIRBAU VIC TT,EL CENTRE B,1917,5,1
2019-10-22 20:00:00,CTT ATENEU,B 1918 CTT POBLENOU,1882,1,5
2019-10-22 20:00:00,CN SABADELL B,SCR EL CIERVO A,1919,0,6
2019-10-22 20:30:00,TT PARETS,BLANXART XALOC OLESA C.Camp,1920,4,3
2019-11-05 20:30:00,BLANXART XALOC OLESA,GIRBAU VIC TT,1921,2,4
2019-11-05 20:00:00,SCR EL CIERVO A,TT PARETS,1922,1,5
2019-11-05 20:30:00,CTT POBLENOU,CN SABADELL B,1923,4,2
2019-10-29 20:30:00,EL CENTRE B,CTT ATENEU 1882 B,1924,1,5
2019-11-12 20:00:00,GIRBAU VIC TT,CTT ATENEU 1882 B,1925,4,2
2019-11-18 20:30:00,CN SABADELL B,EL CENTRE B Can Llong,1926,4,3
2019-11-12 20:00:00,TT PARETS,CTT POBLENOU,1927,3,4
2019-11-13 20:30:00,BLANXART XALOC OLESA,SCR EL CIERVO A,1928,2,4
2019-11-19 20:00:00,SCR EL CIERVO A,GIRBAU VIC TT,1929,3,4
2019-11-19 20:30:00,CTT POBLENOU,BLANXART XALOC OLESA,1930,5,1
2019-11-21 20:30:00,EL CENTRE B,TT PARETS,1931,0,6
2019-11-19 20:00:00,CTT ATENEU,B 1932 CN SABADELL B,1882,4,2
2019-11-26 20:00:00,GIRBAU VIC TT,CN SABADELL B,1933,3,4
2019-11-26 20:00:00,TT PARETS,CTT ATENEU 1882 B,1934,4,2
2019-11-28 20:30:00,EL CENTRE B,BLANXART XALOC OLESA,1935,3,4
2019-11-26 20:30:00,CTT POBLENOU,SCR EL CIERVO A,1936,4,2
2019-12-03 20:30:00,CTT POBLENOU,GIRBAU VIC TT,1937,4,2
2019-12-03 20:00:00,SCR EL CIERVO A,EL CENTRE B,1938,5,1
2019-12-03 20:30:00,BLANXART XALOC OLESA,CTT ATENEU 1882 B,1939,5,1
2019-12-05 20:00:00,TT PARETS,CN SABADELL B C.Camp,1940,6,0
2019-12-10 20:00:00,GIRBAU VIC TT,TT PARETS C.Camp,1941,2,4
2019-12-10 20:00:00,CN SABADELL B,BLANXART XALOC OLESA,1942,3,4
2019-12-11 20:30:00,CTT ATENEU,B 1943 SCR EL CIERVO A,1882,2,4
2019-12-12 20:30:00,EL CENTRE B,CTT POBLENOU,1944,1,5
2020-01-08 20:30:00,EL CENTRE B,GIRBAU VIC TT,1945,0,6
2020-01-09 20:30:00,CTT POBLENOU,CTT ATENEU 1882 B,1946,5,1
2019-12-17 20:00:00,SCR EL CIERVO A,CN SABADELL B,1947,6,0
2019-12-17 20:00:00,BLANXART XALOC OLESA,TT PARETS C.Camp,1948,1,5
2020-01-07 20:00:00,GIRBAU VIC TT,BLANXART XALOC OLESA,1949,5,1
2020-01-07 20:00:00,TT PARETS,SCR EL CIERVO A,1950,4,2
2020-01-07 20:00:00,CN SABADELL B,CTT POBLENOU,1951,0,6
2020-01-07 20:00:00,CTT ATENEU,B 1952 EL CENTRE B,1882,5,1
2020-01-14 20:00:00,CTT ATENEU,B 1953 GIRBAU VIC TT,1882,2,4
2020-01-16 20:30:00,EL CENTRE B,CN SABADELL B,1954,4,3
2020-01-14 20:30:00,CTT POBLENOU,TT PARETS,1955,4,2
2020-01-14 20:00:00,SCR EL CIERVO A,BLANXART XALOC OLESA,1956,4,2
2020-01-21 20:00:00,GIRBAU VIC TT,SCR EL CIERVO A,1957,2,4
2020-01-21 20:30:00,BLANXART XALOC OLESA,CTT POBLENOU,1958,4,3
2020-01-21 20:00:00,TT PARETS,EL CENTRE B,1959,4,3
2020-01-21 20:00:00,CN SABADELL B,CTT ATENEU 1882 B,1960,2,4
