date,home,away,match_id,home_score,away_score
2019-10-03 20:00:00,CTT SANT QUIRZE DEL VALLÈS,LA CASSOLA COLLBATÓ VET A,2073,5,1
2019-10-01 20:30:00,TT PARETS,LLUÏSOS DE GRÀCIA C.Camp,2074,4,2
2019-10-01 20:00:00,CTT JOSEP M. PALES,AGRUPACIÓ CONGRÉS,2075,3,4
2019-10-01 20:30:00,CTT CARDEDEU EIG,ATT PREMIÀ DE MAR,2076,2,4
2019-10-09 20:30:00,LA CASSOLA COLLBATÓ VET A,ATT PREMIÀ DE MAR,2077,0,6
2019-10-08 20:30:00,AGRUPACIÓ CONGRÉS,CTT CARDEDEU EIG,2078,4,3
2019-10-08 20:30:00,LLUÏSOS DE GRÀCIA,CTT JOSEP M. PALES,2079,4,3
2019-10-10 20:00:00,CTT SANT QUIRZE DEL VALLÈS,TT PARETS,2080,2,4
2019-10-16 20:30:00,TT PARETS,LA CASSOLA COLLBATÓ VET A C.Camp,2081,6,0
2019-10-15 20:00:00,CTT JOSEP M. PALES,CTT SANT QUIRZE DEL VALLÈS,2082,5,1
2019-10-15 20:30:00,CTT CARDEDEU EIG,LLUÏSOS DE GRÀCIA,2083,4,2
2019-10-15 20:00:00,ATT PREMIÀ DE MAR,AGRUPACIÓ CONGRÉS,2084,6,0
2019-10-23 20:30:00,LA CASSOLA COLLBATÓ VET A,AGRUPACIÓ CONGRÉS,2085,2,4
2019-10-22 20:30:00,LLUÏSOS DE GRÀCIA,ATT PREMIÀ DE MAR,2086,4,3
2019-10-24 20:00:00,CTT SANT QUIRZE DEL VALLÈS,CTT CARDEDEU EIG,2087,4,3
2019-10-22 20:00:00,TT PARETS,CTT JOSEP M. PALES C.Camp,2088,4,2
2019-11-05 20:00:00,CTT JOSEP M. PALES,LA CASSOLA COLLBATÓ VET A,2089,3,4
2019-11-05 20:30:00,CTT CARDEDEU EIG,TT PARETS,2090,2,4
2019-11-07 20:00:00,ATT PREMIÀ DE MAR,CTT SANT QUIRZE DEL VALLÈS,2091,4,3
2019-11-05 20:30:00,AGRUPACIÓ CONGRÉS,LLUÏSOS DE GRÀCIA,2092,2,4
2019-11-13 20:30:00,LA CASSOLA COLLBATÓ VET A,LLUÏSOS DE GRÀCIA,2093,0,6
2019-11-14 20:00:00,CTT SANT QUIRZE DEL VALLÈS,AGRUPACIÓ CONGRÉS,2094,4,3
2019-11-12 20:00:00,TT PARETS,ATT PREMIÀ DE MAR C.Camp,2095,4,3
2019-11-12 20:00:00,CTT JOSEP M. PALES,CTT CARDEDEU EIG,2096,5,1
2019-11-19 20:30:00,CTT CARDEDEU EIG,LA CASSOLA COLLBATÓ VET A,2097,3,4
2019-11-19 20:00:00,ATT PREMIÀ DE MAR,CTT JOSEP M. PALES,2098,6,0
2019-11-21 20:30:00,AGRUPACIÓ CONGRÉS,TT PARETS,2099,2,4
2019-11-19 20:30:00,LLUÏSOS DE GRÀCIA,CTT SANT QUIRZE DEL VALLÈS,2100,5,1
2019-11-25 20:30:00,LA CASSOLA COLLBATÓ VET A,CTT SANT QUIRZE DEL VALLÈS,2101,4,2
2019-11-26 20:00:00,LLUÏSOS DE GRÀCIA,TT PARETS C.Camp,2102,0,6
2019-11-26 20:30:00,AGRUPACIÓ CONGRÉS,CTT JOSEP M. PALES,2103,4,2
2019-11-26 20:00:00,ATT PREMIÀ DE MAR,CTT CARDEDEU EIG,2104,4,2
2019-12-03 20:00:00,ATT PREMIÀ DE MAR,LA CASSOLA COLLBATÓ VET A,2105,5,1
2019-12-03 20:30:00,CTT CARDEDEU EIG,AGRUPACIÓ CONGRÉS,2106,5,1
2019-12-03 20:00:00,CTT JOSEP M. PALES,LLUÏSOS DE GRÀCIA,2107,5,1
2019-12-03 20:00:00,TT PARETS,CTT SANT QUIRZE DEL VALLÈS,2108,4,3
2019-12-10 20:00:00,LA CASSOLA COLLBATÓ VET A,TT PARETS C.Camp,2109,1,5
2019-12-12 20:00:00,CTT SANT QUIRZE DEL VALLÈS,CTT JOSEP M. PALES,2110,3,4
2019-12-10 20:30:00,LLUÏSOS DE GRÀCIA,CTT CARDEDEU EIG,2111,4,2
2019-12-10 20:30:00,AGRUPACIÓ CONGRÉS,ATT PREMIÀ DE MAR,2112,1,5
2019-12-17 20:30:00,AGRUPACIÓ CONGRÉS,LA CASSOLA COLLBATÓ VET A,2113,4,2
2019-12-17 20:00:00,ATT PREMIÀ DE MAR,LLUÏSOS DE GRÀCIA,2114,3,4
2019-12-17 20:30:00,CTT CARDEDEU EIG,CTT SANT QUIRZE DEL VALLÈS,2115,0,6
2019-12-17 20:00:00,CTT JOSEP M. PALES,TT PARETS C.Camp,2116,5,1
