date,home,away,match_id,home_score,away_score
2021-10-20 20:30:00,AGRUPACIÓ CONGRÉS,CATT SANT CELONI,1625,4,2
2021-10-20 20:30:00,CETT ESPARREGUERA,CC SANT ANDREU,1626,4,2
2021-10-19 20:30:00,CTT DELS HORTS,1627 CTT SANT QUIRZE DEL VALLÈS,2000,2,4
2021-10-19 20:30:00,CTT ATENEU,1628 CTT JOSEP M. PALES,1882,4,3
2021-10-26 20:00:00,CATT SANT CELONI,CTT JOSEP M. PALES,1629,4,2
2021-10-26 20:00:00,CTT SANT QUIRZE DEL VALLÈS,CTT ATENEU 1882,1630,6,0
2021-10-26 20:00:00,CC SANT ANDREU,CTT DELS HORTS 2000,1631,5,1
2021-10-27 20:30:00,AGRUPACIÓ CONGRÉS,CETT ESPARREGUERA,1632,1,5
2021-11-10 20:30:00,CETT ESPARREGUERA,CATT SANT CELONI,1633,6,0
2021-11-09 20:30:00,CTT DELS HORTS,1634 AGRUPACIÓ CONGRÉS,2000,0,6
2021-11-09 20:30:00,CTT ATENEU,1635 CC SANT ANDREU,1882,4,2
2021-11-09 20:00:00,CTT JOSEP M. PALES,CTT SANT QUIRZE DEL VALLÈS,1636,1,5
2021-11-16 20:00:00,CATT SANT CELONI,CTT SANT QUIRZE DEL VALLÈS,1637,2,4
2021-11-16 20:00:00,CC SANT ANDREU,CTT JOSEP M. PALES,1638,6,0
2021-11-17 20:30:00,AGRUPACIÓ CONGRÉS,CTT ATENEU 1882,1639,2,4
2021-11-17 20:30:00,CETT ESPARREGUERA,CTT DELS HORTS 2000,1640,6,0
2021-11-23 20:30:00,CTT DELS HORTS,1641 CATT SANT CELONI,2000,1,5
2021-11-23 20:30:00,CTT ATENEU,1642 CETT ESPARREGUERA,1882,6,0
2021-11-23 20:00:00,CTT JOSEP M. PALES,AGRUPACIÓ CONGRÉS,1643,2,4
2021-11-25 20:00:00,CTT SANT QUIRZE DEL VALLÈS,CC SANT ANDREU,1644,4,2
2021-11-30 20:00:00,CATT SANT CELONI,CC SANT ANDREU,1645,4,3
2021-12-02 20:30:00,AGRUPACIÓ CONGRÉS,CTT SANT QUIRZE DEL VALLÈS,1646,1,5
2021-12-01 20:30:00,CETT ESPARREGUERA,CTT JOSEP M. PALES,1647,4,2
2021-11-30 20:30:00,CTT DELS HORTS,1648 CTT ATENEU 1882,2000,0,6
2021-12-14 20:30:00,CTT ATENEU,1649 CATT SANT CELONI,1882,3,4
2021-12-14 20:00:00,CTT JOSEP M. PALES,CTT DELS HORTS 2000,1650,6,0
2021-12-14 20:00:00,CTT SANT QUIRZE DEL VALLÈS,CETT ESPARREGUERA,1651,2,4
2021-12-14 20:00:00,CC SANT ANDREU,AGRUPACIÓ CONGRÉS,1652,4,3
2022-01-11 20:00:00,CATT SANT CELONI,AGRUPACIÓ CONGRÉS,1653,2,4
2022-01-11 20:00:00,CC SANT ANDREU,CETT ESPARREGUERA,1654,3,4
2022-01-11 20:00:00,CTT SANT QUIRZE DEL VALLÈS,CTT DELS HORTS 2000,1655,6,0
2022-01-11 20:00:00,CTT JOSEP M. PALES,CTT ATENEU 1882,1656,1,5
2022-01-20 20:00:00,CTT JOSEP M. PALES,CATT SANT CELONI,1657,1,5
2022-01-18 20:30:00,CTT ATENEU,1658 CTT SANT QUIRZE DEL VALLÈS,1882,4,2
2022-01-18 20:30:00,CTT DELS HORTS,1659 CC SANT ANDREU,2000,4,3
2022-01-19 20:30:00,CETT ESPARREGUERA,AGRUPACIÓ CONGRÉS,1660,6,0
2022-01-25 20:00:00,CATT SANT CELONI,CETT ESPARREGUERA,1661,1,5
2022-01-26 20:30:00,AGRUPACIÓ CONGRÉS,CTT DELS HORTS 2000,1662,6,0
2022-01-25 20:00:00,CC SANT ANDREU,CTT ATENEU 1882,1663,5,1
2022-01-25 20:00:00,CTT SANT QUIRZE DEL VALLÈS,CTT JOSEP M. PALES,1664,6,0
2022-02-01 20:00:00,CTT SANT QUIRZE DEL VALLÈS,CATT SANT CELONI,1665,5,1
2022-02-01 20:00:00,CTT JOSEP M. PALES,CC SANT ANDREU,1666,4,3
2022-02-01 20:30:00,CTT ATENEU,1667 AGRUPACIÓ CONGRÉS,1882,4,3
2022-02-01 20:30:00,CTT DELS HORTS,1668 CETT ESPARREGUERA,2000,0,6
2022-02-08 20:00:00,CATT SANT CELONI,CTT DELS HORTS 2000,1669,4,2
2022-02-09 20:30:00,CETT ESPARREGUERA,CTT ATENEU 1882,1670,5,1
2022-02-09 20:30:00,AGRUPACIÓ CONGRÉS,CTT JOSEP M. PALES,1671,2,4
2022-02-08 20:00:00,CC SANT ANDREU,CTT SANT QUIRZE DEL VALLÈS,1672,1,5
2022-02-22 20:00:00,CC SANT ANDREU,CATT SANT CELONI,1673,3,4
2022-02-22 20:00:00,CTT SANT QUIRZE DEL VALLÈS,AGRUPACIÓ CONGRÉS,1674,6,0
2022-02-23 20:00:00,CTT JOSEP M. PALES,CETT ESPARREGUERA,1675,0,6
2022-02-22 20:30:00,CTT ATENEU,1676 CTT DELS HORTS 2000,1882,5,1
2022-03-01 20:00:00,CATT SANT CELONI,CTT ATENEU 1882,1677,2,4
2022-03-01 20:30:00,CTT DELS HORTS,1678 CTT JOSEP M. PALES,2000,5,1
2022-03-01 20:30:00,CETT ESPARREGUERA,CTT SANT QUIRZE DEL VALLÈS,1679,4,3
2022-03-02 20:30:00,AGRUPACIÓ CONGRÉS,CC SANT ANDREU,1680,4,2
