date,home,away,match_id,home_score,away_score
2022-09-25 10:00:00,FALCONS DE SABADELL A.E.,ATT PREMIÀ DE MAR,1,6,0
2022-09-25 11:00:00,NEW OLIVER BADALONA,CTT DELS HORTS 2000 C.Camp,2,3,4
2022-09-24 18:30:00,CTT SENTMENAT,CTT CARDEDEU EIG,3,5,1
2022-09-25 11:00:00,CTT ATENEU,4 EL CENTRE A,1882,2,4
2022-09-25 11:00:00,LLUÏSOS DE GRÀCIA,CTT SANT QUINTÍ DE MEDIONA,5,5,1
2022-09-25 11:00:00,BELLVITGE ALHEÑA,CTT ELS AMICS DE TERRASSA,6,3,4
2022-10-16 10:00:00,ATT PREMIÀ DE MAR,CTT ELS AMICS DE TERRASSA,7,5,1
2022-10-16 10:30:00,CTT SANT QUINTÍ DE MEDIONA,BELLVITGE ALHEÑA,8,1,5
2022-10-15 18:00:00,EL CENTRE A,LLUÏSOS DE GRÀCIA,9,4,2
2022-10-16 11:00:00,CTT CARDEDEU EIG,CTT ATENEU 1882,10,1,5
2022-10-16 11:00:00,CTT DELS HORTS,11 CTT SENTMENAT,2000,5,1
2022-10-16 10:00:00,FALCONS DE SABADELL A.E.,NEW OLIVER BADALONA,12,4,2
2022-10-22 17:30:00,NEW OLIVER BADALONA,ATT PREMIÀ DE MAR,13,5,1
2022-10-22 18:30:00,CTT SENTMENAT,FALCONS DE SABADELL A.E.,14,3,4
2022-10-23 11:00:00,CTT ATENEU,15 CTT DELS HORTS 2000,1882,5,1
2022-10-23 11:00:00,LLUÏSOS DE GRÀCIA,CTT CARDEDEU EIG,16,4,2
2022-10-22 18:00:00,BELLVITGE ALHEÑA,EL CENTRE A,17,3,4
2022-10-23 10:00:00,CTT ELS AMICS DE TERRASSA,CTT SANT QUINTÍ DE MEDIONA,18,5,1
2022-10-30 10:00:00,ATT PREMIÀ DE MAR,CTT SANT QUINTÍ DE MEDIONA,19,3,4
2022-10-29 18:00:00,EL CENTRE A,CTT ELS AMICS DE TERRASSA,20,1,5
2022-10-30 11:00:00,CTT CARDEDEU EIG,BELLVITGE ALHEÑA,21,4,2
2022-10-30 11:00:00,CTT DELS HORTS,22 LLUÏSOS DE GRÀCIA,2000,5,1
2022-10-30 10:00:00,FALCONS DE SABADELL A.E.,CTT ATENEU 1882,23,4,2
2022-10-29 10:00:00,NEW OLIVER BADALONA,CTT SENTMENAT,24,4,2
2022-11-05 18:30:00,CTT SENTMENAT,ATT PREMIÀ DE MAR,25,2,4
2022-11-06 11:00:00,CTT ATENEU,26 NEW OLIVER BADALONA,1882,2,4
2022-11-06 11:00:00,LLUÏSOS DE GRÀCIA,FALCONS DE SABADELL A.E.,27,4,2
2022-11-06 11:00:00,BELLVITGE ALHEÑA,CTT DELS HORTS 2000,28,5,1
2022-11-06 10:00:00,CTT ELS AMICS DE TERRASSA,CTT CARDEDEU EIG,29,5,1
2022-11-06 10:30:00,CTT SANT QUINTÍ DE MEDIONA,EL CENTRE A,30,1,5
2022-11-20 10:00:00,ATT PREMIÀ DE MAR,EL CENTRE A,31,1,5
2022-11-20 11:00:00,CTT CARDEDEU EIG,CTT SANT QUINTÍ DE MEDIONA,32,2,4
2022-11-20 11:00:00,CTT DELS HORTS,33 CTT ELS AMICS DE TERRASSA,2000,2,4
2022-11-20 10:00:00,FALCONS DE SABADELL A.E.,BELLVITGE ALHEÑA,34,2,4
2022-11-19 17:30:00,NEW OLIVER BADALONA,LLUÏSOS DE GRÀCIA,35,4,3
2022-11-19 18:30:00,CTT SENTMENAT,CTT ATENEU 1882,36,5,1
2022-11-27 11:00:00,CTT ATENEU,37 ATT PREMIÀ DE MAR,1882,5,1
2022-11-27 11:00:00,LLUÏSOS DE GRÀCIA,CTT SENTMENAT,38,6,0
2022-11-27 11:00:00,BELLVITGE ALHEÑA,NEW OLIVER BADALONA,39,5,1
2022-11-27 10:00:00,CTT ELS AMICS DE TERRASSA,FALCONS DE SABADELL A.E.,40,6,0
2022-11-27 10:30:00,CTT SANT QUINTÍ DE MEDIONA,CTT DELS HORTS 2000,41,4,3
2022-11-26 11:00:00,EL CENTRE A,CTT CARDEDEU EIG,42,5,1
2022-12-04 10:00:00,ATT PREMIÀ DE MAR,CTT CARDEDEU EIG,43,6,0
2022-12-04 11:00:00,CTT DELS HORTS,44 EL CENTRE A,2000,3,4
2022-12-04 10:00:00,FALCONS DE SABADELL A.E.,CTT SANT QUINTÍ DE MEDIONA,45,3,4
2022-12-03 17:30:00,NEW OLIVER BADALONA,CTT ELS AMICS DE TERRASSA,46,1,5
2022-12-03 18:30:00,CTT SENTMENAT,BELLVITGE ALHEÑA,47,3,4
2022-12-04 11:00:00,CTT ATENEU,48 LLUÏSOS DE GRÀCIA,1882,5,1
2022-12-18 11:00:00,LLUÏSOS DE GRÀCIA,ATT PREMIÀ DE MAR,49,2,4
2022-12-18 11:00:00,BELLVITGE ALHEÑA,CTT ATENEU 1882,50,2,4
2022-12-18 10:00:00,CTT ELS AMICS DE TERRASSA,CTT SENTMENAT,51,5,1
2022-12-18 10:30:00,CTT SANT QUINTÍ DE MEDIONA,NEW OLIVER BADALONA,52,6,0
2022-12-17 18:00:00,EL CENTRE A,FALCONS DE SABADELL A.E.,53,4,2
2022-12-18 11:00:00,CTT CARDEDEU EIG,CTT DELS HORTS 2000,54,0,6
2023-01-15 10:00:00,ATT PREMIÀ DE MAR,CTT DELS HORTS 2000,55,1,5
2023-01-15 10:00:00,FALCONS DE SABADELL A.E.,CTT CARDEDEU EIG,56,5,1
2023-01-14 17:30:00,NEW OLIVER BADALONA,EL CENTRE A,57,2,4
2023-01-14 18:30:00,CTT SENTMENAT,CTT SANT QUINTÍ DE MEDIONA,58,5,1
2023-01-15 11:00:00,CTT ATENEU,59 CTT ELS AMICS DE TERRASSA,1882,4,2
2023-01-15 11:00:00,LLUÏSOS DE GRÀCIA,BELLVITGE ALHEÑA,60,1,5
2023-01-22 11:00:00,BELLVITGE ALHEÑA,ATT PREMIÀ DE MAR,61,6,0
2023-01-22 10:00:00,CTT ELS AMICS DE TERRASSA,LLUÏSOS DE GRÀCIA,62,4,2
2023-01-22 10:30:00,CTT SANT QUINTÍ DE MEDIONA,CTT ATENEU 1882,63,0,6
2023-01-21 18:00:00,EL CENTRE A,CTT SENTMENAT,64,5,1
2023-01-22 11:00:00,CTT CARDEDEU EIG,NEW OLIVER BADALONA,65,3,4
2023-01-22 11:00:00,CTT DELS HORTS,66 FALCONS DE SABADELL A.E.,2000,4,2
2023-01-29 10:00:00,ATT PREMIÀ DE MAR,FALCONS DE SABADELL A.E.,67,2,4
2023-01-28 11:00:00,CTT DELS HORTS,68 NEW OLIVER BADALONA C.Camp,2000,2,4
2023-01-29 11:00:00,CTT CARDEDEU EIG,CTT SENTMENAT,69,6,0
2023-01-28 18:00:00,EL CENTRE A,CTT ATENEU 1882,70,4,3
