date,home,away,match_id,home_score,away_score
2022-09-25 10:00:00,CTT ELS AMICS DE TERRASSA,CTT ATC MOLINS DE REI,1189,6,0
2022-09-25 10:00:00,JUMA CTT RIPOLLET A,CTT VALLS DE TORROELLA,1190,4,3
2022-09-24 18:30:00,CTT SENTMENAT,TT ELS JOVES DE CASTELLDEFELS,1191,0,6
2022-09-25 11:00:00,CTT CASTELLDEFELS,EL CIERVO,1192,0,6
2022-09-25 11:00:00,TT TORELLÓ,CTT POBLENOU,1193,5,1
2022-09-24 17:00:00,MOLLET,TT 1194 CTT VILANOVA I LA GELTRU,2002,2,4
2022-10-15 17:00:00,CTT ATC MOLINS DE REI,CTT VILANOVA I LA GELTRU,1195,4,3
2022-10-16 11:00:00,CTT POBLENOU,MOLLET 2002 TT,1196,5,1
2022-10-16 11:00:00,EL CIERVO,TT TORELLÓ,1197,5,1
2022-10-16 11:00:00,TT ELS JOVES DE CASTELLDEFELS,CTT CASTELLDEFELS,1198,6,0
2022-10-15 18:00:00,CTT VALLS DE TORROELLA,CTT SENTMENAT,1199,4,3
2022-10-16 10:00:00,CTT ELS AMICS DE TERRASSA,JUMA CTT RIPOLLET A,1200,4,3
2022-10-23 10:00:00,JUMA CTT RIPOLLET A,CTT ATC MOLINS DE REI,1201,5,1
2022-10-22 18:30:00,CTT SENTMENAT,CTT ELS AMICS DE TERRASSA,1202,2,4
2022-10-23 11:00:00,CTT CASTELLDEFELS,CTT VALLS DE TORROELLA,1203,1,5
2022-10-23 11:00:00,TT TORELLÓ,TT ELS JOVES DE CASTELLDEFELS,1204,1,5
2022-10-22 17:00:00,MOLLET,TT 1205 EL CIERVO,2002,2,4
2022-10-23 11:00:00,CTT VILANOVA I LA GELTRU,CTT POBLENOU,1206,4,2
2022-10-29 17:00:00,CTT ATC MOLINS DE REI,CTT POBLENOU,1207,3,4
2022-10-30 11:00:00,EL CIERVO,CTT VILANOVA I LA GELTRU,1208,5,1
2022-10-30 11:00:00,TT ELS JOVES DE CASTELLDEFELS,MOLLET 2002 TT,1209,6,0
2022-10-29 18:00:00,CTT VALLS DE TORROELLA,TT TORELLÓ,1210,4,3
2022-10-30 10:00:00,CTT ELS AMICS DE TERRASSA,CTT CASTELLDEFELS,1211,5,1
2022-10-30 10:00:00,JUMA CTT RIPOLLET A,CTT SENTMENAT,1212,4,3
