date,home,away,match_id,home_score,away_score
2023-10-03 20:30:00,LLUÏSOS DE GRÀCIA,TARINAS CALELLA,2765,4,3
2023-10-03 20:30:00,CTT ATENEU,2766 CTT MOIANES - JR PIZZES,1882,6,0
2023-10-03 20:00:00,CTT BARCELONA,MOLLET 2002 TT B,2767,0,6
2023-10-03 20:30:00,ASS. ESPORTIVA SANT LLUIS,CC SANT ANDREU,2768,5,1
2023-10-10 20:30:00,TARINAS CALELLA,CC SANT ANDREU,2769,0,6
2023-10-10 20:00:00,MOLLET,TT B 2770 ASS. ESPORTIVA SANT LLUIS,2002,0,6
2023-10-10 20:30:00,CTT MOIANES - JR PIZZES,CTT BARCELONA CdE,2771,0,6
2023-10-10 20:30:00,LLUÏSOS DE GRÀCIA,CTT ATENEU 1882,2772,4,3
2023-10-17 20:30:00,CTT ATENEU,2773 TARINAS CALELLA,1882,6,0
2023-10-17 20:00:00,CTT BARCELONA,LLUÏSOS DE GRÀCIA,2774,5,1
2023-10-17 20:30:00,ASS. ESPORTIVA SANT LLUIS,CTT MOIANES - JR PIZZES,2775,6,0
2023-10-17 20:00:00,CC SANT ANDREU,MOLLET 2002 TT B,2776,5,1
2023-10-24 20:30:00,TARINAS CALELLA,MOLLET 2002 TT B,2777,6,0
2023-10-24 20:30:00,CTT MOIANES - JR PIZZES,CC SANT ANDREU,2778,4,3
2023-10-24 20:30:00,LLUÏSOS DE GRÀCIA,ASS. ESPORTIVA SANT LLUIS,2779,1,5
2023-10-24 20:30:00,CTT ATENEU,2780 CTT BARCELONA,1882,2,4
2023-11-07 20:00:00,CTT BARCELONA,TARINAS CALELLA,2781,2,4
2023-11-07 20:30:00,ASS. ESPORTIVA SANT LLUIS,CTT ATENEU 1882,2782,4,2
2023-11-07 20:00:00,CC SANT ANDREU,LLUÏSOS DE GRÀCIA,2783,4,2
2023-11-07 20:00:00,MOLLET,TT B 2784 CTT MOIANES - JR PIZZES,2002,4,2
2023-11-14 20:30:00,TARINAS CALELLA,CTT MOIANES - JR PIZZES,2785,4,3
2023-11-14 20:30:00,LLUÏSOS DE GRÀCIA,MOLLET 2002 TT B,2786,1,5
2023-11-14 20:30:00,CTT ATENEU,2787 CC SANT ANDREU,1882,2,4
2023-11-14 20:00:00,CTT BARCELONA,ASS. ESPORTIVA SANT LLUIS,2788,3,4
2023-11-21 20:30:00,ASS. ESPORTIVA SANT LLUIS,TARINAS CALELLA,2789,4,2
2023-11-21 20:00:00,CC SANT ANDREU,CTT BARCELONA,2790,2,4
2023-11-21 20:00:00,MOLLET,TT B 2791 CTT ATENEU 1882,2002,1,5
2023-11-21 20:30:00,CTT MOIANES - JR PIZZES,LLUÏSOS DE GRÀCIA,2792,2,4
2023-11-28 20:30:00,TARINAS CALELLA,LLUÏSOS DE GRÀCIA,2793,4,2
2023-11-28 20:30:00,CTT MOIANES - JR PIZZES,CTT ATENEU 1882,2794,2,4
2023-11-28 20:00:00,MOLLET,TT B 2795 CTT BARCELONA,2002,2,4
2023-11-28 20:00:00,CC SANT ANDREU,ASS. ESPORTIVA SANT LLUIS,2796,2,4
2023-12-12 20:00:00,CC SANT ANDREU,TARINAS CALELLA,2797,4,2
2023-12-12 20:30:00,ASS. ESPORTIVA SANT LLUIS,MOLLET 2002 TT B,2798,6,0
2023-12-14 19:30:00,CTT BARCELONA,CTT MOIANES - JR PIZZES,2799,5,1
2023-12-12 20:30:00,CTT ATENEU,2800 LLUÏSOS DE GRÀCIA,1882,6,0
2023-12-19 20:30:00,TARINAS CALELLA,CTT ATENEU 1882,2801,2,4
2023-12-19 20:30:00,LLUÏSOS DE GRÀCIA,CTT BARCELONA,2802,0,6
2023-12-19 20:30:00,CTT MOIANES - JR PIZZES,ASS. ESPORTIVA SANT LLUIS,2803,1,5
2023-12-19 20:00:00,MOLLET,TT B 2804 CC SANT ANDREU,2002,4,3
2024-01-09 20:00:00,MOLLET,TT B 2805 TARINAS CALELLA,2002,2,4
2024-01-09 20:00:00,CC SANT ANDREU,CTT MOIANES - JR PIZZES,2806,6,0
2024-01-09 20:30:00,ASS. ESPORTIVA SANT LLUIS,LLUÏSOS DE GRÀCIA,2807,6,0
2024-01-09 20:00:00,CTT BARCELONA,CTT ATENEU 1882,2808,4,2
2024-01-16 20:30:00,TARINAS CALELLA,CTT BARCELONA,2809,1,5
2024-01-16 20:30:00,CTT ATENEU,2810 ASS. ESPORTIVA SANT LLUIS,1882,1,5
2024-01-16 20:30:00,LLUÏSOS DE GRÀCIA,CC SANT ANDREU,2811,2,4
2024-01-16 20:30:00,CTT MOIANES - JR PIZZES,MOLLET 2002 TT B,2812,0,6
2024-01-23 20:30:00,CTT MOIANES - JR PIZZES,TARINAS CALELLA,2813,3,4
2024-01-23 20:00:00,MOLLET,TT B 2814 LLUÏSOS DE GRÀCIA,2002,4,2
2024-01-23 20:00:00,CC SANT ANDREU,CTT ATENEU 1882,2815,4,2
2024-01-23 20:30:00,ASS. ESPORTIVA SANT LLUIS,CTT BARCELONA,2816,5,1
2024-01-30 20:30:00,TARINAS CALELLA,ASS. ESPORTIVA SANT LLUIS,2817,5,1
2024-01-30 20:00:00,CTT BARCELONA,CC SANT ANDREU,2818,2,4
2024-01-30 20:30:00,CTT ATENEU,2819 MOLLET 2002 TT B,1882,4,3
2024-01-30 20:30:00,LLUÏSOS DE GRÀCIA,CTT MOIANES - JR PIZZES,2820,4,2
