date,home,away,match_id,home_score,away_score
2024-09-28 17:00:00,CTT BARCELONA A,CTT ELS AMICS TERRASSA A,1849,1,5
2024-09-28 17:00:00,LLUÏSOS DE GRÀCIA C,CTT POBLENOU A,1850,0,6
2024-09-29 11:00:00,GIRBAU VIC TT B,CTT ATENEU 1882,1852,0,6
2024-09-29 11:00:00,CLUB ARIEL C,CTT VILASSAR L'OBRERA A,1853,4,3
2024-09-28 17:00:00,MOLLET,TT B 1854 CTT CASTELLGALÍ B,2002,3,4
2024-10-06 10:00:00,CTT ELS AMICS TERRASSA A,CTT CASTELLGALÍ B,1855,2,4
2024-10-06 10:00:00,CTT VILASSAR L'OBRERA A,MOLLET 2002 TT B,1856,5,1
2024-10-06 11:00:00,CTT ATENEU,1857 CLUB ARIEL C,1882,4,2
2024-10-06 11:00:00,CTT POBLENOU A,LLUÏSOS D'HORTA TT A,1859,2,4
2024-10-05 17:00:00,CTT BARCELONA A,LLUÏSOS DE GRÀCIA C,1860,4,2
2024-10-12 17:00:00,LLUÏSOS DE GRÀCIA C,CTT ELS AMICS TERRASSA A,1861,0,6
2024-10-12 17:00:00,LLUÏSOS D'HORTA TT A,CTT BARCELONA A,1862,1,5
2024-10-13 11:00:00,GIRBAU VIC TT B,CTT POBLENOU A,1863,2,4
2024-10-12 17:00:00,MOLLET,TT B 1865 CTT ATENEU 1882,2002,1,5
2024-10-13 11:00:00,CTT CASTELLGALÍ B,CTT VILASSAR L'OBRERA A,1866,2,4
2024-10-20 10:00:00,CTT ELS AMICS TERRASSA A,CTT VILASSAR L'OBRERA A C.Camp,1867,4,3
2024-10-20 11:00:00,CTT ATENEU,1868 CTT CASTELLGALÍ B,1882,2,4
2024-10-20 11:00:00,CTT POBLENOU A,CLUB ARIEL C,1870,0,6
2024-10-19 17:00:00,CTT BARCELONA A,GIRBAU VIC TT B,1871,4,2
2024-10-19 17:00:00,LLUÏSOS DE GRÀCIA C,LLUÏSOS D'HORTA TT A,1872,0,6
2024-10-26 11:00:00,LLUÏSOS D'HORTA TT A,CTT ELS AMICS TERRASSA A,1873,1,5
2024-10-27 11:00:00,GIRBAU VIC TT B,LLUÏSOS DE GRÀCIA C,1874,4,2
2024-10-27 11:00:00,CLUB ARIEL C,CTT BARCELONA A,1875,3,4
2024-10-26 17:00:00,MOLLET,TT B 1876 CTT POBLENOU A,2002,3,4
2024-10-27 10:00:00,CTT VILASSAR L'OBRERA A,CTT ATENEU 1882,1878,2,4
2024-11-10 10:00:00,CTT ELS AMICS TERRASSA A,CTT ATENEU 1882,1879,2,4
2024-11-10 11:00:00,CTT POBLENOU A,CTT CASTELLGALÍ B,1881,3,4
2024-11-09 17:00:00,CTT BARCELONA A,MOLLET 2002 TT B,1882,2,4
2024-11-09 17:00:00,LLUÏSOS DE GRÀCIA C,CLUB ARIEL C,1883,2,4
2024-11-09 17:00:00,LLUÏSOS D'HORTA TT A,GIRBAU VIC TT B,1884,1,5
2024-11-17 11:00:00,GIRBAU VIC TT B,CTT ELS AMICS TERRASSA A,1885,2,4
2024-11-17 11:00:00,CLUB ARIEL C,LLUÏSOS D'HORTA TT A,1886,6,0
2024-11-16 17:00:00,MOLLET,TT B 1887 LLUÏSOS DE GRÀCIA C,2002,4,3
2024-11-17 11:00:00,CTT CASTELLGALÍ B,CTT BARCELONA A,1888,4,3
2024-11-17 10:00:00,CTT VILASSAR L'OBRERA A,CTT POBLENOU A,1889,5,1
2024-11-24 11:00:00,CTT POBLENOU A,CTT ATENEU 1882,1892,3,4
2024-11-23 17:00:00,CTT BARCELONA A,CTT VILASSAR L'OBRERA A,1893,4,3
2024-11-23 17:00:00,LLUÏSOS DE GRÀCIA C,CTT CASTELLGALÍ B,1894,3,4
2024-11-23 17:00:00,LLUÏSOS D'HORTA TT A,MOLLET 2002 TT B,1895,6,0
2024-11-24 11:00:00,GIRBAU VIC TT B,CLUB ARIEL C,1896,4,3
2024-12-01 11:00:00,CLUB ARIEL C,CTT ELS AMICS TERRASSA A,1897,2,4
2024-11-30 17:00:00,MOLLET,TT B 1898 GIRBAU VIC TT B,2002,4,2
2024-12-01 11:00:00,CTT CASTELLGALÍ B,LLUÏSOS D'HORTA TT A,1899,5,1
2024-12-01 10:00:00,CTT VILASSAR L'OBRERA A,LLUÏSOS DE GRÀCIA C,1900,4,2
2024-12-01 11:00:00,CTT ATENEU,1901 CTT BARCELONA A,1882,1,5
2024-12-15 10:00:00,CTT ELS AMICS TERRASSA A,CTT POBLENOU A,1903,5,1
2024-12-14 17:00:00,LLUÏSOS DE GRÀCIA C,CTT ATENEU 1882,1905,1,5
2024-12-14 17:00:00,LLUÏSOS D'HORTA TT A,CTT VILASSAR L'OBRERA A,1906,1,5
2024-12-15 11:00:00,GIRBAU VIC TT B,CTT CASTELLGALÍ B,1907,2,4
2024-12-15 11:00:00,CLUB ARIEL C,MOLLET 2002 TT B,1908,5,1
2025-01-11 17:00:00,MOLLET,TT B 1909 CTT ELS AMICS TERRASSA A,2002,1,5
